Hawaiian Hoary Bat
Hawaiian Monk Seal
Red-vented bulbul
Red-whiskered bulbul
Warbling white-eye
Red-billed leiothrix
Chinese hwamei
Greater necklaced laughingthrush
Kaua'i 'o'o
O'ahu 'o'o
Bishop's 'o'o
Hawai'i 'o'o
Kioea
Northern mockingbird
Common myna
Kama'o
'amaui
Oloma'o
'oma'o
Puaiohi
Eyebrowed thrush
White-rumped shama
African silverbill
Java sparrow
Scaly-breasted munia
Chestnut munia
Red avadavat
Lavender waxbill
Common waxbill
House sparrow
Olive-backed pipit
Red-throated pipit
American pipit
Brambling
Po'ouli
'Akikiki
O'ahu 'alauahio
Kakawahie
Maui 'alauahio
Palila
Laysan finch
Nihoa finch
Kona grosbeak
Lesser koa-finch
Greater koa-finch
'Ula-'ai-hawane
'Akohekohe
Laysan honeycreeper
'Apapane
'I'iwi
Hawai'i mamo
Black mamo
'o'u
Lana'i hookbill
Maui parrotbill
Kaua'i nukupu'u
O'ahu nukupu'u
Maui nukupu'u
'Akiapola'au
Lesser 'akialoa
Kaua'i 'akialoa
O'ahu 'akialoa
Maui Nui 'akialoa
'Anianiau
Hawai'i 'amakihi
O'ahu 'amakihi
Kaua'i 'amakihi
Greater 'amakihi
Hawai'i creeper
‘Akeke‘e
O'ahu 'akepa
Maui 'akepa
Hawai'i 'akepa
House finch
Common redpoll
Yellow-fronted canary
Island canary
Snow bunting
Savannah sparrow
Western meadowlark
Northern cardinal
Red-crested cardinal
Yellow-billed cardinal
Saffron finch
Yellow-faced grassquit
